"replist1" "replist2" "replist3" "replist4" "replist5" "replist6" "replist7" "replist8" "replist9" "replist10" "replist11" "replist12" "replist13" "replist14" "replist15" "replist16" "replist17" "replist18" "replist19" "replist20" "replist21" "replist22" "replist23" "replist24" "replist25" "replist26" "replist27" "replist28" "replist29" "replist30" "replist31" "replist32" "replist33" "replist34" "replist35" "replist36" "replist37" "replist38" "replist39" "replist40" "replist41" "replist42" "replist43" "replist44" "replist45" "replist46" "replist47" "replist48" "replist49" "replist50" "replist51" "replist52" "replist53" "replist54" "replist55" "replist56" "replist57" "replist58" "replist59" "replist60" "Label"
"1" 104.073 104.073 109.647 104.073 104.073 107.639 104.073 104.073 104.073 104.073 107.002 104.073 107.002 176.579 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 112.961 104.073 104.073 104.073 104.073 104.073 104.073 104.073 318.388 104.073 104.073 104.073 109.827 104.073 108.577 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 104.073 108.459 104.073 104.073 104.073 104.073 104.073 104.073 108.459 104.073 "TOTAL"
"2" 1.77082e-10 1.77082e-10 1.05346e-10 1.77082e-10 1.77082e-10 1.65769e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 6.05515e-09 1.77082e-10 6.05514e-09 1.04532e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 5.10057e-11 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 5.14926e-10 1.77082e-10 1.77082e-10 1.77082e-10 7.76954e-11 1.77082e-10 1.68645e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 0.0276871 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 1.77082e-10 0.0276871 1.77082e-10 "Catch"
"3" 0.00036464 0.000364641 0.000271103 0.000364637 0.000364639 0.178048 0.000364636 0.000364638 0.000364641 0.000364636 0.000490299 0.000364636 0.000490295 0.00314267 0.000364636 0.000364636 0.000364635 0.000364636 0.000364637 0.000364636 0.000364635 0.000364637 0.000364636 2.31162 0.000364636 0.000364636 0.000364637 0.000364635 0.000364635 0.000364636 0.000364635 99.1764 0.000364638 0.000364638 0.000364637 0.0669408 0.000364636 0.799398 0.000364636 0.000364639 0.000364635 0.00036464 0.000364636 0.000364635 0.000364637 0.000364638 0.000364636 0.000364636 0.000364636 0.000364636 0.00036464 0.000757735 0.000364637 0.000364636 0.000364637 0.000364638 0.000364637 0.000364637 0.000757736 0.000364641 "Equil_catch"
"4" -10.5801 -10.5801 -8.73602 -10.5801 -10.5801 -12.6641 -10.5801 -10.5801 -10.5801 -10.5801 -10.4005 -10.5801 -10.4005 10.1214 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -8.43651 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -12.6794 -10.5801 -10.5801 -10.5801 -10.0609 -10.5801 -12.6496 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -9.92992 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -10.5801 -9.92992 -10.5801 "Survey"
"5" 131.278 131.278 133.885 131.278 131.278 137.636 131.278 131.278 131.278 131.278 133.431 131.278 133.431 182.994 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 137.031 131.278 131.278 131.278 131.278 131.278 131.278 131.278 249.321 131.278 131.278 131.278 135.366 131.278 137.913 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 131.278 133.358 131.278 131.278 131.278 131.278 131.278 131.278 133.358 131.278 "Age_comp"
"6" -17.7869 -17.7869 -16.6838 -17.7869 -17.7869 -18.4901 -17.7869 -17.7869 -17.7869 -17.7869 -17.7875 -17.7869 -17.7875 -17.6405 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -18.0883 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -18.4345 -17.7869 -17.7869 -17.7869 -16.6511 -17.7869 -18.4588 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -18.0597 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -17.7869 -18.0597 -17.7869 "Recruitment"
"7" 0 0 0 0 0 0 0 0 0 8.84265e-34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.84265e-34 0 0 0 0 0 0 0 0 0 8.84265e-34 0 0 0 0 0 0 0 "InitEQ_Regime"
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Forecast_Recruitment"
"9" 1.15204 1.15204 1.17319 1.15204 1.15204 0.96751 1.15204 1.15204 1.15204 1.15204 1.73835 1.15204 1.73835 1.08781 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 0.0902466 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 0.991322 1.15204 1.15204 1.15204 1.09851 1.15204 0.959925 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 3.0535 1.15204 1.15204 1.15204 1.15204 1.15204 1.15204 3.0535 1.15204 "Parm_priors"
"10" 0.00994194 0.00994193 0.00852929 0.00994193 0.00994193 0.0114498 0.00994193 0.00994193 0.00994193 0.00994193 0.0195582 0.00994194 0.0195582 0.0127467 0.00994193 0.00994193 0.00994191 0.00994193 0.00994193 0.00994192 0.00994193 0.00994192 0.00994194 0.0523602 0.00994192 0.00994193 0.00994194 0.00994195 0.00994193 0.00994192 0.00994193 0.0124902 0.00994193 0.00994193 0.00994193 0.00752276 0.00994193 0.0133021 0.00994193 0.00994193 0.00994193 0.00994193 0.00994193 0.00994192 0.00994193 0.00994194 0.00994193 0.00994193 0.00994193 0.00994193 0.00994193 0.00908162 0.00994193 0.00994195 0.00994193 0.00994193 0.00994193 0.00994193 0.00908162 0.00994194 "Parm_softbounds"
