year,month,a0,a1,a2,a3
1989,6,0,1,0,0
1990,6,0,1,0,0
1991,6,0,0.951557,0.0484429,0
1992,6,0,1,0,0
1993,6,0,0.936578,0.0634218,0
1994,6,0,0.999422,0.000577778,0
1995,6,0,1,0,0
1996,6,0,0.89726,0.10274,0
1997,6,0,0.716599,0.283401,0
1998,6,0,0.96788,0.0321199,0
1999,6,0,0.850602,0.149398,0
2000,6,0,0.915663,0.0843373,0
2001,6,0,0.938953,0.0610465,0
2002,6,0,0.843478,0.156522,0
2003,6,0,0.94832,0.0516796,0
2004,6,0,0.966262,0.0337382,0
2005,6,0,0.884615,0.114447,0.000938086
2006,6,0,0.96543,0.03457,0
2007,6,0,0.967136,0.0328638,0
2008,6,0,0.700166,0.295681,0.00415282
2009,6,0,0.838196,0.145889,0.0159151
2010,6,0,0.906494,0.0909091,0.0025974
2011,6,0,0.997984,0.00201613,0
2012,6,0,0.96223,0.0377698,0
2013,6,0,0.947541,0.052459,0
2014,6,0,0.980477,0.0195228,0
2015,6,0,0.984906,0.0150943,0
2016,6,0,0.974409,0.0255906,0
2017,6,0,0.969555,0.030445,0
2018,6,0,0.988,0.012,0
2019,6,0,0.98,0.02,0
2020,6,0,0.56129,0.32043,0.11828
2021,6,0,0.984127,0.015873,0
2022,6,0,0.933333,0.0666667,0
